id,iso3,country_name,who_region,year,antigen_code,antigen_desc,schedule_round,target_pop,target_pop_desc,geoarea,age_admin,source_comment
187,AND,,EURO,2023.0,,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",,,,NATIONAL,,
188,AND,,EURO,2023.0,,"Tdap-IPV (Tetanus, diphtheria for older children and adults, acellular pertussis and IPV) vaccine",,,,NATIONAL,,
190,AND,,EURO,2023.0,,Varicella vaccine,,,,NATIONAL,,
192,ARE,,EMRO,2023.0,,BCG (Baccille Calmette Guérin) vaccine,,,,NATIONAL,,
193,ARE,,EMRO,2023.0,,Cholera vaccine,,,,NATIONAL,,
194,ARE,,EMRO,2023.0,,DTaP-Hib-HepB-IPV (acellular) vaccine,,,,NATIONAL,,
196,ARE,,EMRO,2023.0,,DTaP-Hib-IPV (acellular) vaccine,,,,NATIONAL,,
197,ARE,,EMRO,2023.0,,DTaP-IPV (acellular) vaccine,,,,NATIONAL,,
198,ARE,,EMRO,2023.0,,DTwP-Hib-HepB (Whole cell) vaccine,,,,NATIONAL,,
199,ARE,,EMRO,2023.0,,Adult Hepatitis A vaccine,,,,NATIONAL,,
201,ARE,,EMRO,2023.0,,Adult Hepatitis B vaccine,,,,NATIONAL,,
207,ARE,,EMRO,2023.0,,Pediatric Hepatitis B vaccine,,,,NATIONAL,,
208,ARE,,EMRO,2023.0,,Hib (Haemophilus influenzae type B) vaccine,,,,NATIONAL,,
209,ARE,,EMRO,2023.0,,HPV-9 (Human Papilloma Virus 9-valent) vaccine,,,,NATIONAL,,
211,ARE,,EMRO,2023.0,,Adult seasonal influenza vaccine,,,,NATIONAL,,
215,ARE,,EMRO,2023.0,,Pediatric seasonal influenza vaccine,,,,NATIONAL,,
218,ARE,,EMRO,2023.0,,IPV (Inactivated polio vaccine),,,,NATIONAL,,
220,ARE,,EMRO,2023.0,,Meningococcal ACYW conjugate vaccine,,,,NATIONAL,,
222,ARE,,EMRO,2023.0,,"MMR (Measles, mumps and rubella) vaccine",,,,NATIONAL,,
224,ARE,,EMRO,2023.0,,OPV (Oral polio vaccine),,,,NATIONAL,,
227,ARE,,EMRO,2023.0,,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,,,,NATIONAL,,
232,ARE,,EMRO,2023.0,,PPV-23 (Pneumococcal polysaccharide 23 valent) vaccine,,,,NATIONAL,,
234,ARE,,EMRO,2023.0,,RV-1 (Rotavirus 1-valent) vaccine,,,,NATIONAL,,
236,ARE,,EMRO,2023.0,,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",,,,NATIONAL,,
239,ARE,,EMRO,2023.0,,Typhoid conjugate vaccine,,,,NATIONAL,,
241,ARE,,EMRO,2023.0,,Varicella vaccine,,,,NATIONAL,,
243,ARE,,EMRO,2023.0,,YF (Yellow fever) vaccine,,,,NATIONAL,,
244,ARE,,EMRO,2023.0,,Shingles (Herpes zoster for older adults) vaccine,,,,NATIONAL,,
246,ARG,,AMRO,2023.0,,BCG (Baccille Calmette Guérin) vaccine,,,,NATIONAL,,
247,ARG,,AMRO,2023.0,,DTaP-Hib-HepB-IPV (acellular) vaccine,,,,NATIONAL,,
250,ARG,,AMRO,2023.0,,DTwP (Whole cell) vaccine,,,,NATIONAL,,
251,ARG,,AMRO,2023.0,,DTwP-Hib-HepB (Whole cell) vaccine,,,,NATIONAL,,
255,ARG,,AMRO,2023.0,,Adult Hepatitis A vaccine,,,,NATIONAL,,
257,ARG,,AMRO,2023.0,,Pediatric Hepatitis A vaccine,,,,NATIONAL,,
258,ARG,,AMRO,2023.0,,Adult Hepatitis B vaccine,,,,NATIONAL,,
261,ARG,,AMRO,2023.0,,Pediatric Hepatitis B vaccine,,,,NATIONAL,,
262,ARG,,AMRO,2023.0,,Hib (Haemophilus influenzae type B) vaccine,,,,NATIONAL,,
264,ARG,,AMRO,2023.0,,HPV-4 (Human Papilloma Virus 4-valent) vaccine,,,,NATIONAL,,
266,ARG,,AMRO,2023.0,,Adult seasonal influenza vaccine,,,,NATIONAL,,
270,ARG,,AMRO,2023.0,,Pediatric seasonal influenza vaccine,,,,NATIONAL,,
272,ARG,,AMRO,2023.0,,IPV (Inactivated polio vaccine),,,,NATIONAL,,
276,ARG,,AMRO,2023.0,,Meningococcal ACYW conjugate vaccine,,,,NATIONAL,,
280,ARG,,AMRO,2023.0,,"MMR (Measles, mumps and rubella) vaccine",,,,NATIONAL,,
284,ARG,,AMRO,2023.0,,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,,,,NATIONAL,,
287,ARG,,AMRO,2023.0,,PPV-23 (Pneumococcal polysaccharide 23 valent) vaccine,,,,NATIONAL,,
289,ARG,,AMRO,2023.0,,Rabies vaccine,,,,NATIONAL,,
292,ARG,,AMRO,2023.0,,RV-1 (Rotavirus 1-valent) vaccine,,,,NATIONAL,,
294,ARG,,AMRO,2023.0,,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,,,,NATIONAL,,
298,ARG,,AMRO,2023.0,,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",,,,NATIONAL,,
302,ARG,,AMRO,2023.0,,Varicella vaccine,,,,NATIONAL,,
308,ARG,,AMRO,2023.0,,YF (Yellow fever) vaccine,,,,SUBNATIONAL,,
310,ARG,,AMRO,2023.0,,YF (Yellow fever) vaccine,,,,NATIONAL,,
311,ARM,,EURO,2023.0,,BCG (Baccille Calmette Guérin) vaccine,,,,NATIONAL,,
312,ARM,,EURO,2023.0,,DTaP-Hib-HepB-IPV (acellular) vaccine,,,,NATIONAL,,
315,ARM,,EURO,2023.0,,DTaP-IPV (acellular) vaccine,,,,NATIONAL,,
317,ARM,,EURO,2023.0,,Adult Hepatitis A vaccine,,,,NATIONAL,,
319,ARM,,EURO,2023.0,,Adult Hepatitis B vaccine,,,,NATIONAL,,
322,ARM,,EURO,2023.0,,Pediatric Hepatitis B vaccine,,,,NATIONAL,,
323,ARM,,EURO,2023.0,,HPV-4 (Human Papilloma Virus 4-valent) vaccine,,,,NATIONAL,,
328,ARM,,EURO,2023.0,,Adult seasonal influenza vaccine,,,,NATIONAL,,
332,ARM,,EURO,2023.0,,Pediatric seasonal influenza vaccine,,,,NATIONAL,,
335,ARM,,EURO,2023.0,,Meningococcal ACYW conjugate vaccine,,,,NATIONAL,,
337,ARM,,EURO,2023.0,,"MMR (Measles, mumps and rubella) vaccine",,,,NATIONAL,,
341,ARM,,EURO,2023.0,,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,,,,NATIONAL,,
346,ARM,,EURO,2023.0,,Rabies vaccine,,,,NATIONAL,,
347,ARM,,EURO,2023.0,,RV-1 (Rotavirus 1-valent) vaccine,,,,NATIONAL,,
349,ARM,,EURO,2023.0,,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,,,,NATIONAL,,
355,ARM,,EURO,2023.0,,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",,,,NATIONAL,,
356,ARM,,EURO,2023.0,,Tularemia vaccine,,,,NATIONAL,,
358,ATG,,AMRO,2023.0,,"DT (Tetanus toxoid and diphtheria, children's dose) vaccine",,,,NATIONAL,,
359,ATG,,AMRO,2023.0,,DTwP (Whole cell) vaccine,,,,NATIONAL,,
360,ATG,,AMRO,2023.0,,DTwP-Hib-HepB (Whole cell) vaccine,,,,NATIONAL,,
363,ATG,,AMRO,2023.0,,Adult Hepatitis B vaccine,,,,NATIONAL,,
369,ATG,,AMRO,2023.0,,Pediatric Hepatitis B vaccine,,,,NATIONAL,,
370,ATG,,AMRO,2023.0,,HPV-4 (Human Papilloma Virus 4-valent) vaccine,,,,NATIONAL,,
373,ATG,,AMRO,2023.0,,Adult seasonal influenza vaccine,,,,NATIONAL,,
377,ATG,,AMRO,2023.0,,Pediatric seasonal influenza vaccine,,,,NATIONAL,,
380,ATG,,AMRO,2023.0,,IPV (Inactivated polio vaccine),,,,NATIONAL,,
382,ATG,,AMRO,2023.0,,"MMR (Measles, mumps and rubella) vaccine",,,,NATIONAL,,
384,ATG,,AMRO,2023.0,,OPV (Oral polio vaccine),,,,NATIONAL,,
388,ATG,,AMRO,2023.0,,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,,,,NATIONAL,,
391,ATG,,AMRO,2023.0,,PPV-23 (Pneumococcal polysaccharide 23 valent) vaccine,,,,NATIONAL,,
392,ATG,,AMRO,2023.0,,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,,,,NATIONAL,,
395,ATG,,AMRO,2023.0,,Varicella vaccine,,,,NATIONAL,,
396,ATG,,AMRO,2023.0,,YF (Yellow fever) vaccine,,,,NATIONAL,,
397,AUS,,WPRO,2023.0,,DTaP (acellular) vaccine,,,,NATIONAL,,
398,AUS,,WPRO,2023.0,,DTaP-Hib-HepB-IPV (acellular) vaccine,,,,NATIONAL,,
401,AUS,,WPRO,2023.0,,DTaP-IPV (acellular) vaccine,,,,NATIONAL,,
402,AUS,,WPRO,2023.0,,Pediatric Hepatitis A vaccine,,,,SUBNATIONAL,,
404,AUS,,WPRO,2023.0,,Adult Hepatitis B vaccine,,,,NATIONAL,,
405,AUS,,WPRO,2023.0,,Pediatric Hepatitis B vaccine,,,,NATIONAL,,
406,AUS,,WPRO,2023.0,,Hib (Haemophilus influenzae type B) vaccine,,,,NATIONAL,,
407,AUS,,WPRO,2023.0,,HPV-9 (Human Papilloma Virus 9-valent) vaccine,,,,NATIONAL,,
408,AUS,,WPRO,2023.0,,Adult seasonal influenza vaccine,,,,NATIONAL,,
412,AUS,,WPRO,2023.0,,Pediatric seasonal influenza vaccine,,,,NATIONAL,,
414,AUS,,WPRO,2023.0,,Meningococcal ACYW conjugate vaccine,,,,NATIONAL,,
416,AUS,,WPRO,2023.0,,Meningococcal B vaccine,,,,SUBNATIONAL,,
420,AUS,,WPRO,2023.0,,"MMR (Measles, mumps and rubella) vaccine",,,,NATIONAL,,
421,AUS,,WPRO,2023.0,,"MMRV (Measles, mumps, rubella and varicella) vaccine",,,,NATIONAL,,
422,AUS,,WPRO,2023.0,,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,,,,NATIONAL,,
428,AUS,,WPRO,2023.0,,PPV-23 (Pneumococcal polysaccharide 23 valent) vaccine,,,,NATIONAL,,
429,AUS,,WPRO,2023.0,,PPV-23 (Pneumococcal polysaccharide 23 valent) vaccine,,,,SUBNATIONAL,,
431,AUS,,WPRO,2023.0,,RV-1 (Rotavirus 1-valent) vaccine,,,,NATIONAL,,
433,AUS,,WPRO,2023.0,,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",,,,NATIONAL,,
435,AUS,,WPRO,2023.0,,Shingles (Herpes zoster for older adults) vaccine,,,,NATIONAL,,
437,AUT,,EURO,2023.0,,DTaP-Hib-HepB-IPV (acellular) vaccine,,,,NATIONAL,,
440,AUT,,EURO,2023.0,,Pediatric Hepatitis B vaccine,,,,NATIONAL,,
441,AUT,,EURO,2023.0,,HPV-9 (Human Papilloma Virus 9-valent) vaccine,,,,NATIONAL,,
445,AUT,,EURO,2023.0,,Adult seasonal influenza vaccine,,,,NATIONAL,,
449,AUT,,EURO,2023.0,,Pediatric seasonal influenza vaccine,,,,NATIONAL,,
452,AUT,,EURO,2023.0,,Meningococcal ACYW conjugate vaccine,,,,NATIONAL,,
453,AUT,,EURO,2023.0,,"MMR (Measles, mumps and rubella) vaccine",,,,NATIONAL,,
457,AUT,,EURO,2023.0,,PCV-10 (Pneumococcal conjugate vaccine 10-valent) vaccine,,,,NATIONAL,,
460,AUT,,EURO,2023.0,,RV-1 (Rotavirus 1-valent) vaccine,,,,NATIONAL,,
462,AUT,,EURO,2023.0,,"Tdap-IPV (Tetanus, diphtheria for older children and adults, acellular pertussis and IPV) vaccine",,,,NATIONAL,,
463,AZE,,EURO,2023.0,,BCG (Baccille Calmette Guérin) vaccine,,,,NATIONAL,,
464,AZE,,EURO,2023.0,,"DT (Tetanus toxoid and diphtheria, children's dose) vaccine",,,,NATIONAL,,
465,AZE,,EURO,2023.0,,DTwP (Whole cell) vaccine,,,,NATIONAL,,
466,AZE,,EURO,2023.0,,DTwP-Hib-HepB (Whole cell) vaccine,,,,NATIONAL,,
469,AZE,,EURO,2023.0,,Pediatric Hepatitis B vaccine,,,,NATIONAL,,
470,AZE,,EURO,2023.0,,Adult seasonal influenza vaccine,,,,NATIONAL,,
474,AZE,,EURO,2023.0,,Pediatric seasonal influenza vaccine,,,,NATIONAL,,
476,AZE,,EURO,2023.0,,IPV (Inactivated polio vaccine),,,,NATIONAL,,
478,AZE,,EURO,2023.0,,"MMR (Measles, mumps and rubella) vaccine",,,,NATIONAL,,
480,AZE,,EURO,2023.0,,OPV (Oral polio vaccine),,,,NATIONAL,,
484,AZE,,EURO,2023.0,,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,,,,NATIONAL,,
487,AZE,,EURO,2023.0,,Vitamin A supplements,,,,NATIONAL,,
489,BDI,,AFRO,2023.0,,BCG (Baccille Calmette Guérin) vaccine,,,,NATIONAL,,
490,BDI,,AFRO,2023.0,,DTwP (Whole cell) vaccine,,,,NATIONAL,,
491,BDI,,AFRO,2023.0,,DTwP-Hib-HepB (Whole cell) vaccine,,,,NATIONAL,,
494,BDI,,AFRO,2023.0,,IPV (Inactivated polio vaccine),,,,NATIONAL,,
495,BDI,,AFRO,2023.0,,MR (Measles and rubella) vaccine,,,,NATIONAL,,
497,BDI,,AFRO,2023.0,,OPV (Oral polio vaccine),,,,NATIONAL,,
501,BDI,,AFRO,2023.0,,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,,,,NATIONAL,,
504,BDI,,AFRO,2023.0,,RV-1 (Rotavirus 1-valent) vaccine,,,,NATIONAL,,
506,BDI,,AFRO,2023.0,,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,,,,NATIONAL,,
516,BDI,,AFRO,2023.0,,Vitamin A supplements,,,,NATIONAL,,
522,BDI,,AFRO,2023.0,,YF (Yellow fever) vaccine,,,,NATIONAL,,
523,BEL,,EURO,2023.0,,DTaP-Hib-HepB-IPV (acellular) vaccine,,,,NATIONAL,,
527,BEL,,EURO,2023.0,,DTaP-IPV (acellular) vaccine,,,,NATIONAL,,
528,BEL,,EURO,2023.0,,Adult Hepatitis B vaccine,,,,NATIONAL,,
534,BEL,,EURO,2023.0,,Pediatric Hepatitis B vaccine,,,,NATIONAL,,
535,BEL,,EURO,2023.0,,HPV-9 (Human Papilloma Virus 9-valent) vaccine,,,,NATIONAL,,
537,BEL,,EURO,2023.0,,Adult seasonal influenza vaccine,,,,NATIONAL,,
541,BEL,,EURO,2023.0,,Pediatric seasonal influenza vaccine,,,,NATIONAL,,
542,BEL,,EURO,2023.0,,IPV (Inactivated polio vaccine),,,,NATIONAL,,
546,BEL,,EURO,2023.0,,Meningococcal ACYW conjugate vaccine,,,,NATIONAL,,
548,BEL,,EURO,2023.0,,Meningococcal C conjugate vaccine,,,,NATIONAL,,
549,BEL,,EURO,2023.0,,"MMR (Measles, mumps and rubella) vaccine",,,,NATIONAL,,
551,BEL,,EURO,2023.0,,Mpox (monkeypox) vaccine,,,,SUBNATIONAL,,
552,BEL,,EURO,2023.0,,PCV-15 (Pneumococcal conjugate vaccine 15-valent) vaccine,,,,NATIONAL,,
555,BEL,,EURO,2023.0,,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,,,,NATIONAL,,
559,BEL,,EURO,2023.0,,PCV-20 (Pneumococcal conjugate vaccine 20-valent) vaccine,,,,NATIONAL,,
561,BEL,,EURO,2023.0,,PPV-23 (Pneumococcal polysaccharide 23 valent) vaccine,,,,NATIONAL,,
563,BEL,,EURO,2023.0,,RV-1 (Rotavirus 1-valent) vaccine,,,,NATIONAL,,
565,BEL,,EURO,2023.0,,RV-5 (Rotavirus 5-valent) vaccine,,,,NATIONAL,,
568,BEL,,EURO,2023.0,,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",,,,NATIONAL,,
576,BEN,,AFRO,2023.0,,BCG (Baccille Calmette Guérin) vaccine,,,,NATIONAL,,
577,BEN,,AFRO,2023.0,,DTwP-Hib-HepB (Whole cell) vaccine,,,,NATIONAL,,
580,BEN,,AFRO,2023.0,,Pediatric Hepatitis B vaccine,,,,NATIONAL,,
581,BEN,,AFRO,2023.0,,IPV (Inactivated polio vaccine),,,,NATIONAL,,
582,BEN,,AFRO,2023.0,,Meningococcal A conjugate vaccine,,,,NATIONAL,,
583,BEN,,AFRO,2023.0,,MR (Measles and rubella) vaccine,,,,NATIONAL,,
584,BEN,,AFRO,2023.0,,OPV (Oral polio vaccine),,,,NATIONAL,,
588,BEN,,AFRO,2023.0,,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,,,,NATIONAL,,
591,BEN,,AFRO,2023.0,,RV-1 (Rotavirus 1-valent) vaccine,,,,NATIONAL,,
594,BEN,,AFRO,2023.0,,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,,,,NATIONAL,,
599,BEN,,AFRO,2023.0,,YF (Yellow fever) vaccine,,,,NATIONAL,,
600,BFA,,AFRO,2023.0,,BCG (Baccille Calmette Guérin) vaccine,,,,NATIONAL,,
601,BFA,,AFRO,2023.0,,DTwP-Hib-HepB (Whole cell) vaccine,,,,NATIONAL,,
604,BFA,,AFRO,2023.0,,Pediatric Hepatitis B vaccine,,,,NATIONAL,,
605,BFA,,AFRO,2023.0,,HPV-4 (Human Papilloma Virus 4-valent) vaccine,,,,NATIONAL,,
606,BFA,,AFRO,2023.0,,IPV (Inactivated polio vaccine),,,,NATIONAL,,
608,BFA,,AFRO,2023.0,,Meningococcal A conjugate vaccine,,,,NATIONAL,,
609,BFA,,AFRO,2023.0,,MR (Measles and rubella) vaccine,,,,NATIONAL,,
611,BFA,,AFRO,2023.0,,OPV (Oral polio vaccine),,,,NATIONAL,,
615,BFA,,AFRO,2023.0,,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,,,,NATIONAL,,
618,BFA,,AFRO,2023.0,,RV-5 (Rotavirus 5-valent) vaccine,,,,NATIONAL,,
621,BFA,,AFRO,2023.0,,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,,,,NATIONAL,,
636,BFA,,AFRO,2023.0,,Vitamin A supplements,,,,NATIONAL,,
638,BFA,,AFRO,2023.0,,YF (Yellow fever) vaccine,,,,NATIONAL,,
639,BGD,,SEARO,2023.0,,BCG (Baccille Calmette Guérin) vaccine,,,,NATIONAL,,
640,BGD,,SEARO,2023.0,,DTwP-Hib-HepB (Whole cell) vaccine,,,,NATIONAL,,
643,BGD,,SEARO,2023.0,,IPVf (Inactivated polio vaccine fractional dose),,,,NATIONAL,,
645,BGD,,SEARO,2023.0,,MR (Measles and rubella) vaccine,,,,NATIONAL,,
647,BGD,,SEARO,2023.0,,OPV (Oral polio vaccine),,,,NATIONAL,,
650,BGD,,SEARO,2023.0,,PCV-10 (Pneumococcal conjugate vaccine 10-valent) vaccine,,,,NATIONAL,,
653,BGD,,SEARO,2023.0,,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,,,,NATIONAL,,
665,BGD,,SEARO,2023.0,,Vitamin A supplements,,,,NATIONAL,,
666,BGR,,EURO,2023.0,,BCG (Baccille Calmette Guérin) vaccine,,,,NATIONAL,,
669,BGR,,EURO,2023.0,,CCHF (Crimean-Congo Hemorrhagic Fever) vaccine,,,,SUBNATIONAL,,
670,BGR,,EURO,2023.0,,DTaP-Hib-HepB-IPV (acellular) vaccine,,,,NATIONAL,,
673,BGR,,EURO,2023.0,,DTaP-Hib-IPV (acellular) vaccine,,,,NATIONAL,,
677,BGR,,EURO,2023.0,,DTaP-IPV (acellular) vaccine,,,,NATIONAL,,
678,BGR,,EURO,2023.0,,Pediatric Hepatitis B vaccine,,,,NATIONAL,,
681,BGR,,EURO,2023.0,,HPV-9 (Human Papilloma Virus 9-valent) vaccine,,,,NATIONAL,,
683,BGR,,EURO,2023.0,,Adult seasonal influenza vaccine,,,,NATIONAL,,
